prompt,TP,FP,FN,acc,F1
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##љshing crescent squire [unused0] codesjing,0.11627907,0.426356589,0.457364341,0.214285714,0.208333333
##њshing crescent squire [unused0] codesjing,0.095890411,0.383561644,0.520547945,0.2,0.175
##њshing crescent squire codes florian,0.085526316,0.375,0.539473684,0.185714286,0.157575758
##љshing crescent squire [unused0] torejing,0.086092715,0.377483444,0.536423841,0.185714286,0.158536585
##њshing crescent squire [unused0] codes florian,0.055555556,0.268518519,0.675925926,0.171428571,0.105263158
##њshing crescent squire [unused0] heraldjing,0.074324324,0.398648649,0.527027027,0.157142857,0.13836478
##њshingrol defect codes florian,0.06,0.406666667,0.533333333,0.128571429,0.113207547
##њshing crescent defect codes florian,0.052631579,0.407894737,0.539473684,0.114285714,0.1
##њshing crescent squire [unused0] tore florian,0.053691275,0.416107383,0.530201342,0.114285714,0.101910828
##њ knot crescent defect codes florian,0.046357616,0.417218543,0.536423841,0.1,0.088607595
##ћ knot crescent defect codes florian,0.046666667,0.42,0.533333333,0.1,0.089171975
##њshing [unused0] crescent defect codes florian,0.046666667,0.42,0.533333333,0.1,0.089171975
knot bedside steiner guiding neighboring crowded,0.032846715,0.737226277,0.229927007,0.042654028,0.06360424
knot [unused0] bedside steiner guiding neighboring crowded,0.028571429,0.832653061,0.13877551,0.033175355,0.055555556
gettysburg defect,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
gettysburg squire,0.021126761,0.721830986,0.257042254,0.028436019,0.04137931
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
raafkan mw,0.020979021,0.716783217,0.262237762,0.028436019,0.04109589
